Artist	Title	Label	Number	Matrix	Year	link_MP3
http://www.jazz-on-line.com/a/mp3h/GenX-57-A.mp3	Duke Ellington & His Orch.	(you've Got Those) ''wanna Go Back Again'' Blues	Gennett	3291-A	X-57-A	1926	Harry Cooper, Leroy Rutledge (tp) Charlie Irvis (tb) Don Redman (cl,as) Prince Robinson (cl,ts) Otto Hardwick (as,bar) Duke Ellington (p) Fred Guy (bj) Bass Edwards (tu) Vocal by Sonny Greer
http://www.jazz-on-line.com/a/mp3w/1956_031.mp3	Platters	(you've Got) The Magic Touch	Mercury	70819		1956	
http://www.jazz-on-line.com/a/mp3r/RiBLU11414.mp3	Carson Robison Trio	- We're Gonna Have To Slap The Dirty Little Jap	BLUEBIRD	11414			
http://www.jazz-on-line.com/a/mp3c/V-D255.mp3	Red Norvo & His Orchestra	1-2-3-4 Jump	V-DISC	085	255	1943	
http://www.jazz-on-line.com/a/mp3b/MOD120S.mp3	Howard Mcghee	11:45 Swing	MODERN	120			
http://www.jazz-on-line.com/a/mp3w/1956_171.mp3	Al Hibbler	11th Hour Melody	Decca	29789		1956	
http://www.jazz-on-line.com/a/mp3w/1956_221.mp3	Lou Busch And His Orchestra	11th Hour Melody	Capitol	3349		1956	
http://www.jazz-on-line.com/a/mp3c/NATNSC99.mp3	Pete Johnson's Allstars	1280 Stomp	NATIONAL		NSC99	1946	
http://www.78-tours.net/mp3/JSMM1360.mp3	Kid Ory And His Creole Jazz Band Kid Ory (tb), Teddy Buckner (tp), Joe Darensbourg, Albert Nicholas	12th Street Rag	JAZZ SELECTION DIXIE	J.S. 594	M. M. 1360		
http://www.jazz-on-line.com/a/mp3o/HISB-D-262x.mp3	Fats Waller And His Rhythm	12th Street Rag	His Master's Voice	B-D-262			
http://www.jazz-on-line.com/a/mp3d/Vic037632-1.mp3	Lionel Hampton And His Orchestra	12th Street Rag	Victor	26362	037632-1	1939	
http://www.jazz-on-line.com/a/mp3w/1917_087.mp3	Earl Fuller's Novelty Orchestra	12th Street Rag	COLUMBIA	2298		1917	
http://www.jazz-on-line.com/a/mp3w/1954_320.mp3	Count Basie And His Orchestra	16 Men Swinging	Clef	89147		1954	
http://www.jazz-on-line.com/a/mp3b/PhiM33184.mp3	The Dutch Swing College Band	1919 Rag	Decca	M33184		1951	
http://www.jazz-on-line.com/a/mp3o/GOO11y.mp3	Turk Murphy's Jazz Band	1919 Rag	Good Time Jazz	11			
